manga,tax,nachos,tissues,soup,canned tuna,cheese,eggs,milk,grapes,chicken,minced meat,bread,shirt,shawarma,groceries,ice cream,cheese rice,uber,kobe,cola,pizza,karaoke,drink,owe
91.96,5.21,11.53,9.88,1.79,2.58,5.99,3.05,2.22,10.3,8.72,5.8,1.99,32.0,11.0,18.42,5.75,20.94,8.57,9.7,2.5,15.48,17.72,2.99,16.0
indigo,96.55999999999999,manga,91.96,tax,4.6
cineplex,11.53,nachos,11.53
safeway,52.93,tissues,9.88,soup,1.79,canned tuna,2.58,cheese,5.99,eggs,3.05,milk,2.22,grapes,10.3,chicken,8.72,minced meat,5.8,bread,1.99,tax,0.61
otafest,32.0,shirt,32.0
pita basket,11.0,shawarma,11.0
pick n go,18.42,groceries,18.42
dairy queen,5.75,ice cream,5.75
calgary court,20.94,cheese rice,20.94
uber,8.57,uber,8.57
food,9.7,kobe,9.7
drink,2.5,cola,2.5
dominos,15.48,pizza,15.48
bacchus,17.72,karaoke,17.72
sushi,2.99,drink,2.99
nina,16.0,owe,16.0
